p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
-908.8948,-1106.1306,501.34048,-1129.7762,-128.58955,1663.9542,298.77554,-463.63443
-903.8889,-1106.1266,496.34424,-1129.7695,-132.97888,1666.355,293.77728,-463.63037
-898.88306,-1106.1226,491.348,-1129.7628,-137.36821,1668.7557,288.77902,-463.6263
-893.8772,-1106.1185,486.35175,-1129.7561,-141.75754,1671.1565,283.78076,-463.62225
-888.87134,-1106.1145,481.3555,-1129.7494,-146.14687,1673.5573,278.7825,-463.6182
-883.8655,-1106.1105,476.35925,-1129.7427,-150.5362,1675.958,273.78424,-463.61414
-878.8596,-1106.1064,471.363,-1129.736,-154.92552,1678.3588,268.78598,-463.61008
-873.85376,-1106.1024,466.36676,-1129.7292,-159.31485,1680.7595,263.78772,-463.60602
-868.8479,-1106.0984,461.3705,-1129.7225,-163.70418,1683.1603,258.78946,-463.60196
-863.84204,-1106.0944,456.37427,-1129.7158,-168.0935,1685.561,253.7912,-463.5979
-858.8362,-1106.0903,451.37802,-1129.7091,-172.48283,1687.9618,248.79294,-463.59384
-853.8303,-1106.0863,446.38177,-1129.7024,-176.87216,1690.3625,243.79468,-463.58978
-848.82446,-1106.0823,441.38553,-1129.6957,-181.26149,1692.7633,238.79642,-463.58572
-843.8186,-1106.0782,436.38928,-1129.689,-185.65082,1695.1641,233.79816,-463.58167
-838.81274,-1106.0742,431.39304,-1129.6823,-190.04015,1697.5648,228.7999,-463.5776
-833.8069,-1106.0702,426.3968,-1129.6755,-194.42947,1699.9656,223.80164,-463.57355
-828.801,-1106.0662,421.40054,-1129.6688,-198.8188,1702.3663,218.80338,-463.5695
-823.79517,-1106.0621,416.4043,-1129.6621,-203.20813,1704.7671,213.80511,-463.56543
-818.7893,-1106.0581,411.40805,-1129.6554,-207.59746,1707.1678,208.80685,-463.56137
-813.78345,-1106.0541,406.4118,-1129.6487,-211.98679,1709.5686,203.8086,-463.5573
-808.7776,-1106.05,401.41556,-1129.642,-216.37611,1711.9694,198.81033,-463.55325
-803.7717,-1106.046,396.4193,-1129.6353,-220.76544,1714.3701,193.81207,-463.5492
-798.76587,-1106.042,391.42307,-1129.6285,-225.15477,1716.7709,188.81381,-463.54514
-793.76,-1106.038,386.42682,-1129.6218,-229.5441,1719.1716,183.81555,-463.54108
-788.75415,-1106.0339,381.43057,-1129.6151,-233.93343,1721.5724,178.81729,-463.53702
-783.7483,-1106.0299,376.43433,-1129.6084,-238.32275,1723.9731,173.81903,-463.53296
-778.74243,-1106.0259,371.43808,-1129.6017,-242.71208,1726.3739,168.82077,-463.5289
-773.7366,-1106.0219,366.44183,-1129.595,-247.10141,1728.7747,163.82251,-463.52484
-768.7307,-1106.0178,361.4456,-1129.5883,-251.49074,1731.1754,158.82425,-463.52078
-763.72485,-1106.0138,356.44934,-1129.5815,-255.88007,1733.5762,153.82599,-463.51672
-758.719,-1106.0098,351.4531,-1129.5748,-260.26938,1735.9769,148.82773,-463.51266
-753.71313,-1106.0057,346.45685,-1129.5681,-264.6587,1738.3777,143.82947,-463.5086
-748.7073,-1106.0017,341.4606,-1129.5614,-269.048,1740.7784,138.8312,-463.50455
-743.7014,-1105.9977,336.46436,-1129.5547,-273.43732,1743.1792,133.83295,-463.5005
-738.69556,-1105.9937,331.4681,-1129.548,-277.82663,1745.58,128.83469,-463.49643
-733.6897,-1105.9896,326.47186,-1129.5413,-282.21594,1747.9807,123.836426,-463.49237
-728.68384,-1105.9856,321.47562,-1129.5345,-286.60526,1750.3815,118.838165,-463.4883
-723.678,-1105.9816,316.47937,-1129.5278,-290.99457,1752.7822,113.839905,-463.48425
-718.6721,-1105.9775,314.2539,-1129.4501,-295.38388,1755.183,108.841644,-463.4802
-713.66626,-1105.9735,312.02844,-1129.3723,-299.7732,1757.5837,103.84338,-463.47614
-708.6604,-1105.9695,309.80298,-1129.2946,-304.1625,1759.9845,98.84512,-463.47208
-703.65454,-1105.9655,307.5775,-1129.2168,-308.55182,1762.3853,93.248535,-465.55045
-698.6487,-1105.9614,305.35205,-1129.139,-312.94113,1764.786,87.65195,-467.6288
-693.6428,-1105.9574,303.1266,-1129.0613,-317.33044,1767.1868,82.05536,-469.70718
-688.63696,-1105.9534,300.90112,-1128.9835,-321.71976,1769.5875,76.45877,-471.78555
-683.6311,-1105.9493,298.67566,-1128.9058,-326.10907,1771.9883,70.86218,-473.86392
-678.62524,-1105.9453,296.4502,-1128.828,-330.49838,1774.389,65.265594,-475.9423
-673.6194,-1105.9413,294.22473,-1128.7502,-334.8877,1776.7898,59.66901,-478.02066
-668.6135,-1105.9373,291.99927,-1128.6725,-339.277,1779.1906,54.072426,-480.09903
-663.60767,-1105.9332,289.7738,-1128.5947,-343.66632,1781.5913,48.47584,-482.1774
-659.9462,-1102.5167,287.54834,-1128.517,-348.05563,1783.9921,42.879257,-484.25577
-656.2848,-1099.1002,285.32288,-1128.4392,-352.44495,1786.3928,37.282673,-486.33414
