,Time,Energy
1256,12.56,1.2500045443175622e-09
1257,12.57,1.2500045443175622e-09
1258,12.58,1.2500045443175622e-09
1259,12.59,1.2500044332952598e-09
1260,12.6,1.2500045443175622e-09
1261,12.61,1.2500045443175622e-09
1262,12.62,1.2500045443175622e-09
1263,12.63,1.2500045443175622e-09
1264,12.64,1.2500044332952598e-09
1265,12.65,1.2500045443175622e-09
1266,12.66,1.2500045443175622e-09
1267,12.67,1.2500045443175622e-09
1268,12.68,1.2500044332952598e-09
1269,12.69,1.2500044332952598e-09
1270,12.7,1.2500045443175622e-09
1271,12.71,1.2500044332952598e-09
1272,12.72,1.2500045443175622e-09
1273,12.73,1.2500045443175622e-09
1274,12.74,1.2500045443175622e-09
1275,12.75,1.2500045443175622e-09
1276,12.76,1.2500044332952598e-09
1277,12.77,1.2500045443175622e-09
1278,12.78,1.2500045443175622e-09
1279,12.79,1.2500045443175622e-09
1280,12.8,1.2500045443175622e-09
1281,12.81,1.2500045443175622e-09
1282,12.82,1.2500045443175622e-09
1283,12.83,1.2500045443175622e-09
1284,12.84,1.2500045443175622e-09
1285,12.85,1.2500044332952598e-09
1286,12.86,1.2500045443175622e-09
1287,12.87,1.2500045443175622e-09
1288,12.88,1.2500044332952598e-09
1289,12.89,1.2500045443175622e-09
1290,12.9,1.2500045443175622e-09
1291,12.91,1.2500045443175622e-09
1292,12.92,1.2500044332952598e-09
1293,12.93,1.2500045443175622e-09
1294,12.94,1.2500045443175622e-09
1295,12.95,1.2500045443175622e-09
1296,12.96,1.2500045443175622e-09
1297,12.97,1.2500044332952598e-09
1298,12.98,1.2500045443175622e-09
1299,12.99,1.2500044332952598e-09
1300,13.0,1.2500044332952598e-09
1301,13.01,1.2500045443175622e-09
1302,13.02,1.2500045443175622e-09
1303,13.03,1.2500045443175622e-09
1304,13.04,1.2500045443175622e-09
1305,13.05,1.2500044332952598e-09
1306,13.06,1.2500045443175622e-09
1307,13.07,1.2500045443175622e-09
1308,13.08,1.2500045443175622e-09
1309,13.09,1.2500045443175622e-09
1310,13.1,1.2500045443175622e-09
1311,13.11,1.2500044332952598e-09
1312,13.12,1.2500045443175622e-09
1313,13.13,1.2500045443175622e-09
1314,13.14,1.2500045443175622e-09
1315,13.15,1.2500045443175622e-09
1316,13.16,1.2500045443175622e-09
1317,13.17,1.2500044332952598e-09
1318,13.18,1.2500045443175622e-09
1319,13.19,1.2500045443175622e-09
1320,13.2,1.2500045443175622e-09
1321,13.21,1.2500045443175622e-09
1322,13.22,1.2500045443175622e-09
1323,13.23,1.2500045443175622e-09
1324,13.24,1.2500045443175622e-09
1325,13.25,1.2500045443175622e-09
1326,13.26,1.2500045443175622e-09
1327,13.27,1.2500044332952598e-09
1328,13.28,1.2500045443175622e-09
1329,13.29,1.2500045443175622e-09
1330,13.3,1.2500045443175622e-09
1331,13.31,1.2500045443175622e-09
1332,13.32,1.2500044332952598e-09
1333,13.33,1.2500045443175622e-09
1334,13.34,1.2500044332952598e-09
1335,13.35,1.2500045443175622e-09
1336,13.36,1.2500045443175622e-09
1337,13.37,1.2500045443175622e-09
1338,13.38,1.2500045443175622e-09
1339,13.39,1.2500045443175622e-09
1340,13.4,1.2500045443175622e-09
1341,13.41,1.2500045443175622e-09
1342,13.42,1.2500045443175622e-09
1343,13.43,1.2500045443175622e-09
1344,13.44,1.2500045443175622e-09
1345,13.45,1.2500045443175622e-09
1346,13.46,1.2500045443175622e-09
1347,13.47,1.2500045443175622e-09
1348,13.48,1.2500044332952598e-09
1349,13.49,1.2500045443175622e-09
1350,13.5,1.2500045443175622e-09
1351,13.51,1.2500045443175622e-09
1352,13.52,1.2500045443175622e-09
1353,13.53,1.2500044332952598e-09
1354,13.54,1.2500045443175622e-09
1355,13.55,1.2500045443175622e-09
1356,13.56,1.2500045443175622e-09
1357,13.57,1.2500045443175622e-09
1358,13.58,1.2500045443175622e-09
1359,13.59,1.2500045443175622e-09
1360,13.6,1.2500045443175622e-09
1361,13.61,1.2500044332952598e-09
1362,13.62,1.2500045443175622e-09
1363,13.63,1.2500045443175622e-09
1364,13.64,1.2500045443175622e-09
1365,13.65,1.2500045443175622e-09
1366,13.66,1.2500045443175622e-09
1367,13.67,1.2500044332952598e-09
1368,13.68,1.2500045443175622e-09
1369,13.69,1.2500045443175622e-09
1370,13.7,1.2500045443175622e-09
1371,13.71,1.2500045443175622e-09
1372,13.72,1.2500045443175622e-09
1373,13.73,1.2500045443175622e-09
1374,13.74,1.2500045443175622e-09
1375,13.75,1.2500045443175622e-09
1376,13.76,1.2500045443175622e-09
1377,13.77,1.2500045443175622e-09
1378,13.78,1.2500045443175622e-09
1379,13.79,1.2500045443175622e-09
1380,13.8,1.2500044332952598e-09
1381,13.81,1.2500045443175622e-09
1382,13.82,1.2500045443175622e-09
1383,13.83,1.2500045443175622e-09
1384,13.84,1.2500045443175622e-09
1385,13.85,1.2500045443175622e-09
1386,13.86,1.2500045443175622e-09
1387,13.87,1.2500044332952598e-09
1388,13.88,1.2500045443175622e-09
1389,13.89,1.2500044332952598e-09
1390,13.9,1.2500045443175622e-09
1391,13.91,1.2500045443175622e-09
1392,13.92,1.2500045443175622e-09
1393,13.93,1.2500045443175622e-09
1394,13.94,1.2500045443175622e-09
1395,13.95,1.2500044332952598e-09
1396,13.96,1.2500045443175622e-09
1397,13.97,1.2500045443175622e-09
1398,13.98,1.2500045443175622e-09
1399,13.99,1.2500044332952598e-09
1400,14.0,1.2500045443175622e-09
1401,14.01,1.2500045443175622e-09
1402,14.02,1.2500045443175622e-09
1403,14.03,1.2500045443175622e-09
1404,14.04,1.2500045443175622e-09
1405,14.05,1.2500045443175622e-09
1406,14.06,1.2500045443175622e-09
1407,14.07,1.2500045443175622e-09
1408,14.08,1.2500045443175622e-09
1409,14.09,1.2500045443175622e-09
1410,14.1,1.2500045443175622e-09
1411,14.11,1.2500045443175622e-09
1412,14.12,1.2500045443175622e-09
1413,14.13,1.2500044332952598e-09
1414,14.14,1.2500045443175622e-09
1415,14.15,1.2500045443175622e-09
1416,14.16,1.2500045443175622e-09
1417,14.17,1.2500045443175622e-09
1418,14.18,1.2500045443175622e-09
1419,14.19,1.2500045443175622e-09
1420,14.2,1.2500045443175622e-09
1421,14.21,1.2500045443175622e-09
1422,14.22,1.2500045443175622e-09
1423,14.23,1.2500044332952598e-09
1424,14.24,1.2500044332952598e-09
1425,14.25,1.2500045443175622e-09
1426,14.26,1.2500045443175622e-09
1427,14.27,1.2500045443175622e-09
1428,14.28,1.2500045443175622e-09
1429,14.29,1.2500045443175622e-09
1430,14.3,1.2500045443175622e-09
1431,14.31,1.2500045443175622e-09
1432,14.32,1.2500045443175622e-09
1433,14.33,1.2500045443175622e-09
1434,14.34,1.2500045443175622e-09
1435,14.35,1.2500045443175622e-09
1436,14.36,1.2500045443175622e-09
1437,14.37,1.2500044332952598e-09
1438,14.38,1.2500044332952598e-09
1439,14.39,1.2500045443175622e-09
1440,14.4,1.2500045443175622e-09
1441,14.41,1.2500045443175622e-09
1442,14.42,1.2500044332952598e-09
1443,14.43,1.2500045443175622e-09
1444,14.44,1.2500044332952598e-09
1445,14.45,1.2500045443175622e-09
1446,14.46,1.2500045443175622e-09
1447,14.47,1.2500045443175622e-09
1448,14.48,1.2500045443175622e-09
1449,14.49,1.2500045443175622e-09
1450,14.5,1.2500045443175622e-09
1451,14.51,1.2500045443175622e-09
1452,14.52,1.2500044332952598e-09
1453,14.53,1.2500045443175622e-09
1454,14.54,1.2500045443175622e-09
1455,14.55,1.2500045443175622e-09
1456,14.56,1.2500045443175622e-09
1457,14.57,1.2500045443175622e-09
1458,14.58,1.2500045443175622e-09
1459,14.59,1.2500045443175622e-09
1460,14.6,1.2500045443175622e-09
1461,14.61,1.2500045443175622e-09
1462,14.62,1.2500045443175622e-09
1463,14.63,1.2500045443175622e-09
1464,14.64,1.2500045443175622e-09
1465,14.65,1.2500045443175622e-09
1466,14.66,1.2500045443175622e-09
1467,14.67,1.2500045443175622e-09
1468,14.68,1.2500044332952598e-09
1469,14.69,1.2500045443175622e-09
1470,14.7,1.2500045443175622e-09
1471,14.71,1.2500044332952598e-09
1472,14.72,1.2500045443175622e-09
1473,14.73,1.2500045443175622e-09
1474,14.74,1.2500045443175622e-09
1475,14.75,1.2500045443175622e-09
1476,14.76,1.2500045443175622e-09
1477,14.77,1.2500045443175622e-09
1478,14.78,1.2500044332952598e-09
1479,14.79,1.2500044332952598e-09
1480,14.8,1.2500045443175622e-09
1481,14.81,1.2500045443175622e-09
1482,14.82,1.2500045443175622e-09
1483,14.83,1.2500044332952598e-09
1484,14.84,1.2500045443175622e-09
1485,14.85,1.2500045443175622e-09
1486,14.86,1.2500045443175622e-09
1487,14.87,1.2500045443175622e-09
1488,14.88,1.2500045443175622e-09
1489,14.89,1.2500045443175622e-09
1490,14.9,1.2500045443175622e-09
1491,14.91,1.2500045443175622e-09
1492,14.92,1.2500045443175622e-09
1493,14.93,1.2500045443175622e-09
1494,14.94,1.2500045443175622e-09
1495,14.95,1.2500045443175622e-09
1496,14.96,1.2500045443175622e-09
1497,14.97,1.2500045443175622e-09
1498,14.98,1.2500045443175622e-09
1499,14.99,1.2500045443175622e-09
1500,15.0,1.2500045443175622e-09
1501,15.01,1.2500045443175622e-09
1502,15.02,1.2500045443175622e-09
1503,15.03,1.2500045443175622e-09
1504,15.04,1.2500045443175622e-09
1505,15.05,1.2500045443175622e-09
1506,15.06,1.2500045443175622e-09
1507,15.07,1.2500045443175622e-09
1508,15.08,1.2500045443175622e-09
1509,15.09,1.2500045443175622e-09
1510,15.1,1.2500045443175622e-09
1511,15.11,1.2500045443175622e-09
1512,15.12,1.2500045443175622e-09
1513,15.13,1.2500045443175622e-09
1514,15.14,1.2500045443175622e-09
1515,15.15,1.2500045443175622e-09
1516,15.16,1.2500045443175622e-09
1517,15.17,1.2500045443175622e-09
1518,15.18,1.2500045443175622e-09
1519,15.19,1.2500045443175622e-09
1520,15.2,1.2500045443175622e-09
1521,15.21,1.2500045443175622e-09
1522,15.22,1.2500045443175622e-09
1523,15.23,1.2500045443175622e-09
1524,15.24,1.2500045443175622e-09
1525,15.25,1.2500045443175622e-09
1526,15.26,1.2500045443175622e-09
1527,15.27,1.2500045443175622e-09
